ID_ESTACION_PUBLICO_ESPECIFICO,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,DESC_TIPO_DESTINACAO,GEOMETRIA
3388,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,20,100,1 HORA(S),RUA,DA BAHIA,ENTRE AVE AFONSO PENA E RUA DOS GOITACAZES,MOTOFRETE,POINT (611249.3 7796665)
3403,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),RUA,AQUILES LOBO,ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE,MOTOFRETE,POINT (611920 7797037)
3403,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),RUA,AQUILES LOBO,ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE,MOTOFRETE,POINT (611920 7797037)
4313,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,20,200,1 HORA(S),RUA,DOS TUPINAMBAS,ENTRE AVE AMAZONAS E RUA RIO DE JANEIRO,MOTOFRETE,POINT (611169.6 7797246.5)
4313,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,20,100,1 HORA(S),RUA,DOS TUPINAMBAS,ENTRE AVE AMAZONAS E RUA RIO DE JANEIRO,MOTOFRETE,POINT (611169.6 7797246.5)
4328,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,27,270,1 HORA(S),RUA,SAO PAULO,ENTRE AVE AMAZONAS E RUA DOS CARIJOS,MOTOFRETE,POINT (610934.4 7797116)
4328,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,27,135,1 HORA(S),RUA,SAO PAULO,ENTRE AVE AMAZONAS E RUA DOS CARIJOS,MOTOFRETE,POINT (610934.4 7797116)
4768,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),RUA,MARIA LUIZA SANTIAGO,ENTRE ROD BR TREZENTOS E CINQUENTA E SEIS E RUA MARIA LUIZA SANTIAGO,MOTOFRETE,POINT (610057.7 7790863.5)
4768,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,1 HORA(S),RUA,MARIA LUIZA SANTIAGO,ENTRE ROD BR TREZENTOS E CINQUENTA E SEIS E RUA MARIA LUIZA SANTIAGO,MOTOFRETE,POINT (610057.7 7790863.5)
4311,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,28,280,1 HORA(S),AVENIDA,BRASIL,ENTRE RUA PERNAMBUCO E RUA ALAGOAS,MOTOFRETE,POINT (611560 7795806)
4311,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,28,140,1 HORA(S),AVENIDA,BRASIL,ENTRE RUA PERNAMBUCO E RUA ALAGOAS,MOTOFRETE,POINT (611560 7795806)
3370,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),AVENIDA,BARBACENA,ENTRE RUA ARAGUARI E RUA ALVARENGA PEIXOTO,MOTOFRETE,POINT (609862.75 7796095.5)
