ID_EDESP;TIPO_ESTACIONAMENTO;DESTINACAO_ESPECIFICA;DIA_REGRA_OPERACAO;PERIODO_VALIDO_REGRA_OPERACAO;NUMERO_VAGAS_FISICAS;NUMERO_VAGAS_ROTATIVAS;TEMPO_PERMANENCIA;TIPO_LOGRADOURO;LOGRADOURO;REFERENCIA_LOGRADOURO;BAIRRO;GEOMETRIA
556;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;7;35;1 HORA(S);AVENIDA;AFONSO VAZ DE MELO;ENTRE RUA AGNELO MACEDO E RUA BENEDITO SANTOS;BARREIRO;POINT (602465.28 7791057.89)
564;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;15;150;1 HORA(S);AVENIDA;ALVARES CABRAL;ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO;SANTO AGOSTINHO;POINT (609827.04 7795571.90)
565;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;15;75;1 HORA(S);AVENIDA;ALVARES CABRAL;ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO;SANTO AGOSTINHO;POINT (609827.04 7795571.90)
645;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);PRACA;MILTON CAMPOS;ENTRE AVE DO CONTORNO E RUA CAETANO DIAS;SERRA;POINT (612427.10 7794864.22)
646;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);PRACA;MILTON CAMPOS;ENTRE AVE DO CONTORNO E RUA CAETANO DIAS;SERRA;POINT (612427.10 7794864.22)
658;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);AVENIDA;FRANCISCO SALES;ENTRE RUA PADRE ROLIM E AVE CARANDAI;SANTA EFIGÊNIA;POINT (612623.79 7796023.73)
659;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);AVENIDA;FRANCISCO SALES;ENTRE RUA PADRE ROLIM E AVE CARANDAI;SANTA EFIGÊNIA;POINT (612623.79 7796023.73)
710;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;10;100;1 HORA(S);AVENIDA;AMAZONAS;ENTRE AVE AFONSO PENA E RUA SAO PAULO;CENTRO;POINT (611045.15 7797094.09)
711;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;10;50;1 HORA(S);AVENIDA;AMAZONAS;ENTRE AVE AFONSO PENA E RUA SAO PAULO;CENTRO;POINT (611045.15 7797094.09)
712;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;10;100;1 HORA(S);AVENIDA;AMAZONAS;ENTRE AVE AFONSO PENA E RUA SAO PAULO;CENTRO;POINT (610988.52 7797063.81)
