ID_EDESP,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,BAIRRO,GEOMETRIA
670,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,AVENIDA,PASTEUR,ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612085.42 7796209.14)
644,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,PRACA,MILTON CAMPOS,ENTRE AVE DO CONTORNO E RUA CAETANO DIAS,SERRA,POINT (612427.10 7794864.22)
645,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,PRACA,MILTON CAMPOS,ENTRE AVE DO CONTORNO E RUA CAETANO DIAS,SERRA,POINT (612427.10 7794864.22)
657,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,AVENIDA,FRANCISCO SALES,ENTRE RUA PADRE ROLIM E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612623.79 7796023.73)
658,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,AVENIDA,FRANCISCO SALES,ENTRE RUA PADRE ROLIM E AVE CARANDAI,SANTA EFIGÊNIA,POINT (612623.79 7796023.73)
513,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,RUA,PROFESSOR OCTAVIANO DE ALMEIDA,ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA,SANTA EFIGÊNIA,POINT (612921.77 7796865.25)
514,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,RUA,PROFESSOR OCTAVIANO DE ALMEIDA,ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA,SANTA EFIGÊNIA,POINT (612921.77 7796865.25)
524,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,RUA,RIO GRANDE DO NORTE,ENTRE RUA DOS AIMORES E AVE AFONSO PENA,FUNCIONÁRIOS,POINT (611891.14 7795808.21)
525,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,RUA,RIO GRANDE DO NORTE,ENTRE RUA DOS AIMORES E AVE AFONSO PENA,FUNCIONÁRIOS,POINT (611891.14 7795808.21)
550,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,AVENIDA,GETULIO VARGAS,ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO,SAVASSI,POINT (611527.56 7795100.87)
551,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,AVENIDA,GETULIO VARGAS,ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO,SAVASSI,POINT (611527.56 7795100.87)
555,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,AVENIDA,AFONSO VAZ DE MELO,ENTRE RUA AGNELO MACEDO E RUA BENEDITO SANTOS,BARREIRO,POINT (602465.28 7791057.89)
556,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,AVENIDA,AFONSO VAZ DE MELO,ENTRE RUA AGNELO MACEDO E RUA BENEDITO SANTOS,BARREIRO,POINT (602465.28 7791057.89)
564,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,15,150,,AVENIDA,ALVARES CABRAL,ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO,SANTO AGOSTINHO,POINT (609827.04 7795571.90)
565,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,15,75,,AVENIDA,ALVARES CABRAL,ENTRE AVE DO CONTORNO E RUA SANTOS BARRETO,SANTO AGOSTINHO,POINT (609827.04 7795571.90)
739,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,,AVENIDA,AFONSO PENA,ENTRE RUA TRIFANA E RUA ALFENAS,SERRA,POINT (612735.40 7794295.64)
740,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,,AVENIDA,AFONSO PENA,ENTRE RUA TRIFANA E RUA ALFENAS,SERRA,POINT (612735.40 7794295.64)
982,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,RUA,OURO PRETO,ENTRE RUA DOS GUAJAJARAS E AVE AUGUSTO DE LIMA,BARRO PRETO,POINT (609824.36 7796741.94)
983,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,RUA,OURO PRETO,ENTRE RUA DOS GUAJAJARAS E AVE AUGUSTO DE LIMA,BARRO PRETO,POINT (609824.36 7796741.94)
785,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,RUA,DOS TIMBIRAS,ENTRE RUA PARACATU E AVE BARBACENA,BARRO PRETO,POINT (609633.67 7796629.40)
786,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,RUA,DOS TIMBIRAS,ENTRE RUA PARACATU E AVE BARBACENA,BARRO PRETO,POINT (609633.67 7796629.40)
811,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,AVENIDA,GETULIO VARGAS,ENTRE RUA ALAGOAS E AVE DO CONTORNO,SAVASSI,POINT (611101.09 7794853.90)
812,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,,AVENIDA,GETULIO VARGAS,ENTRE RUA ALAGOAS E AVE DO CONTORNO,SAVASSI,POINT (611101.09 7794853.90)
818,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,,AVENIDA,OLEGARIO MACIEL,ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO,SANTO AGOSTINHO,POINT (610041.19 7795409.00)
819,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,,AVENIDA,OLEGARIO MACIEL,ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO,SANTO AGOSTINHO,POINT (610041.19 7795409.00)
840,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,5,50,,RUA,EDGARD COELHO,ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES,SERRA,POINT (612562.30 7795268.17)
841,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,5,25,,RUA,EDGARD COELHO,ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES,SERRA,POINT (612562.30 7795268.17)
860,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,RUA,MATO GROSSO,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,BARRO PRETO,POINT (610108.95 7796686.23)
861,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,RUA,MATO GROSSO,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,BARRO PRETO,POINT (610108.95 7796686.23)
864,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,,RUA,CURITIBA,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,CENTRO,POINT (610669.22 7796618.80)
865,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,,RUA,CURITIBA,ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS,CENTRO,POINT (610669.22 7796618.80)
709,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (611045.15 7797094.09)
710,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (611045.15 7797094.09)
711,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (610988.52 7797063.81)
712,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,,AVENIDA,AMAZONAS,ENTRE AVE AFONSO PENA E RUA SAO PAULO,CENTRO,POINT (610988.52 7797063.81)
716,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,,AVENIDA,OIAPOQUE,ENTRE AVE DO CONTORNO E RUA SAO PAULO,CENTRO,POINT (611107.62 7797680.28)
717,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,,AVENIDA,OIAPOQUE,ENTRE AVE DO CONTORNO E RUA SAO PAULO,CENTRO,POINT (611107.62 7797680.28)
1133,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,,RUA,DOS GUAICURUS,ENTRE RUA SAO PAULO E RUA CURITIBA,CENTRO,POINT (610957.44 7797623.91)
1134,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,,RUA,DOS GUAICURUS,ENTRE RUA SAO PAULO E RUA CURITIBA,CENTRO,POINT (610957.44 7797623.91)
1220,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,,RUA,PROFESSOR MORAES,ENTRE RUA TOME DE SOUZA E RUA ANTONIO DE ALBUQUERQUE,SAVASSI,POINT (611827.23 7794977.75)
1221,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,,RUA,PROFESSOR MORAES,ENTRE RUA TOME DE SOUZA E RUA ANTONIO DE ALBUQUERQUE,SAVASSI,POINT (611827.23 7794977.75)
990,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,21,210,,RUA,ARAGUARI,ENTRE RUA DOS GOITACAZES E AVE AUGUSTO DE LIMA,BARRO PRETO,POINT (610010.04 7796853.90)
991,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,21,105,,RUA,ARAGUARI,ENTRE RUA DOS GOITACAZES E AVE AUGUSTO DE LIMA,BARRO PRETO,POINT (610010.04 7796853.90)
1009,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,RUA,CEARA,ENTRE RUA DOMINGOS VIEIRA E RUA ALVARES MACIEL,SANTA EFIGÊNIA,POINT (612426.58 7796684.58)
1010,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,6,30,,RUA,CEARA,ENTRE RUA DOMINGOS VIEIRA E RUA ALVARES MACIEL,SANTA EFIGÊNIA,POINT (612426.58 7796684.58)
1037,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,28,280,,AVENIDA,BRASIL,ENTRE RUA PERNAMBUCO E RUA ALAGOAS,BOA VIAGEM,POINT (611560.00 7795806.02)
1038,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,28,140,,AVENIDA,BRASIL,ENTRE RUA PERNAMBUCO E RUA ALAGOAS,BOA VIAGEM,POINT (611560.00 7795806.02)
1047,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,,AVENIDA,BARBACENA,ENTRE RUA ARAGUARI E RUA ALVARENGA PEIXOTO,SANTO AGOSTINHO,POINT (609862.73 7796095.42)
1048,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,,AVENIDA,BARBACENA,ENTRE RUA ARAGUARI E RUA ALVARENGA PEIXOTO,SANTO AGOSTINHO,POINT (609862.73 7796095.42)
1489,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,6,60,,RUA,DOS TUPIS,ENTRE RUA ESPIRITO SANTO E RUA RIO DE JANEIRO,CENTRO,POINT (611106.63 7796828.29)
1504,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,,RUA,RIO GRANDE DO SUL,ENTRE RUA DOS TUPIS E AVE BIAS FORTES,CENTRO,POINT (610322.85 7796947.54)
